episode_id,start,end,observations,max_vix,mean_vix,mean_spy_realized_vol_20d_ann,min_spy_drawdown_252d,mean_abs_return_1d
23,2014-09-25,2014-10-27,21,26.25,18.601904761904763,0.14841593162342914,-0.07704886774073472,0.00925582102883794
24,2014-12-10,2014-12-19,8,23.57,19.552500000000002,0.1147450888258432,-0.048509597778320424,0.012217828264577929
25,2014-12-30,2015-02-11,29,22.39,18.757241379310347,0.16368743850758574,-0.046473729836678745,0.008795567267893985
26,2015-03-10,2015-03-11,2,16.87,16.78,0.1020280914740969,-0.03533188027303302,0.009281809029320465
27,2015-06-29,2015-07-09,6,19.97,18.418333333333333,0.12374157818404803,-0.04201405723982732,0.0075686010624523665
28,2015-08-20,2015-10-02,31,40.74,25.49161290322581,0.2655557672378743,-0.12285712284561634,0.013656446819895677
29,2015-11-13,2015-11-13,1,20.08,20.08,0.12548526618682052,-0.051334926060267905,0.011228290826386766
30,2015-12-09,2015-12-18,5,24.39,21.676000000000002,0.15957406974257635,-0.06313815329058126,0.013267381444409776
31,2016-01-04,2016-02-17,28,28.14,24.240714285714283,0.21318571819957888,-0.14351287770327126,0.012300372918158517
32,2016-06-24,2016-06-27,2,25.76,24.805,0.16081450673443265,-0.06110348773762975,0.026909466012436545
33,2016-11-03,2016-11-04,2,22.51,22.295,0.0708591774415149,-0.04810805359582726,0.0028393724862528225
34,2017-04-11,2017-04-13,3,15.96,15.6,0.06718664432178478,-0.030319477477154022,0.004022176578911241
35,2017-05-17,2017-05-17,1,15.59,15.59,0.09049577637997458,-0.018643344447124788,0.017744062289010265
36,2017-08-10,2017-08-18,4,16.04,15.339999999999998,0.0735773159062497,-0.020817317565527738,0.008186543978829897
37,2017-11-15,2017-11-15,1,13.13,13.13,0.053637860288653305,-0.010304438505268743,0.005005270980996901
38,2018-01-17,2018-01-18,2,12.22,12.065000000000001,0.06549512158579265,-0.0016808080102507228,0.005606234454675951
39,2018-01-29,2018-04-26,61,37.32,19.7627868852459,0.20704228620413362,-0.10157717466506322,0.01024185430883911
40,2018-05-29,2018-05-29,1,17.02,17.02,0.0958131333092198,-0.06127433310548269,0.011501028671722202
41,2018-06-25,2018-06-28,3,17.91,17.363333333333333,0.09522218849313006,-0.06012276249585624,0.009204858735894458
42,2018-10-10,2018-11-23,28,25.23,21.217142857142854,0.20156246319263812,-0.10331081122520525,0.011729102346326166
43,2018-12-04,2019-01-07,22,36.07,24.96,0.2538236273181491,-0.20178483869435315,0.014646414649438666
44,2019-05-13,2019-05-13,1,20.55,20.55,0.12664239724973347,-0.04479139367551399,0.02513023463578734
45,2019-08-05,2019-08-15,5,24.59,21.826000000000004,0.17226675355121654,-0.06022979985174204,0.017695735988766746
46,2019-08-27,2019-08-27,1,20.31,20.31,0.23844487034300868,-0.05013083725333112,0.003923628065321205
47,2019-10-02,2019-10-08,2,20.56,20.42,0.11930723087292432,-0.04619056241830266,0.01659470878221142
48,2020-01-27,2020-02-03,3,18.84,18.346666666666668,0.11380091076763423,-0.03078777178754577,0.013871951105799937
49,2020-02-21,2020-05-14,58,82.69,45.151206896551734,0.5594719666053733,-0.3410474689324394,0.0299132739979765
50,2020-06-11,2020-06-26,8,40.79,35.26375,0.2859357289109811,-0.1131702103190978,0.020211643051797845
51,2020-10-28,2020-11-03,5,40.28,37.714,0.20880601148766345,-0.08711211238112693,0.016726333841024267
52,2021-01-27,2021-01-27,1,37.21,37.21,0.1439555593109758,-0.025963242035451528,0.024440461382450485
53,2021-09-20,2021-09-20,1,25.71,25.71,0.10685394043225806,-0.04225599371857358,0.016674185440266553
54,2021-11-26,2021-12-06,7,31.12,27.955714285714286,0.13256790344513644,-0.04093843385895102,0.014427932394480416
55,2021-12-20,2021-12-20,1,22.87,22.87,0.19637073004076205,-0.03347915956789693,0.010633405490204417
56,2022-01-18,2022-03-23,43,36.45,27.938139534883717,0.21174062737664204,-0.12865544483981672,0.012567826619935106
57,2022-04-11,2022-04-12,2,24.37,24.315,0.18389910883688249,-0.08251864858443758,0.010398757305841888
58,2022-04-22,2022-05-26,25,34.75,30.007600000000004,0.29100477102008704,-0.184735512295222,0.016464765267385054
59,2022-06-10,2022-06-30,10,34.02,30.506,0.30272563630451005,-0.2341378830340699,0.016439766741118467
60,2022-09-23,2022-10-19,18,33.63,31.428333333333335,0.2626800155442852,-0.25360573583036916,0.016211464093889887
61,2023-10-20,2023-10-27,2,21.71,21.490000000000002,0.13349238970567817,-0.1029074793896857,0.00841040777510721
62,2024-04-12,2024-04-19,6,19.23,18.310000000000002,0.11321072334350647,-0.05353896470175934,0.007476553794005599
63,2024-07-19,2024-08-13,16,38.57,21.1975,0.16833767593042154,-0.08405619392423236,0.011870414841895612
64,2024-08-22,2024-09-18,12,22.38,19.014999999999997,0.15794650368410204,-0.04337358041878547,0.007183677228362846
65,2024-09-27,2024-11-05,28,23.16,19.897857142857145,0.10408579819539635,-0.027284099068242695,0.005098795534824773
66,2024-12-18,2024-12-20,3,27.62,23.356666666666666,0.12919398388480308,-0.035718435135748794,0.012908986754385418
67,2025-01-10,2025-01-14,3,19.54,19.14666666666667,0.16128864385126088,-0.044948269087306425,0.006064627610760875
68,2025-02-03,2025-02-03,1,18.62,18.62,0.1417639738009503,-0.019647364442394455,0.006729566554251942
69,2025-02-24,2025-05-09,50,52.33,26.4038,0.3191831769307233,-0.189989041295049,0.014550389008455239
70,2025-05-23,2025-05-23,1,22.29,22.29,0.1572643328595259,-0.05517760221942403,0.006825775301577575
71,2025-10-10,2025-10-16,2,25.31,23.485,0.12344237530555688,-0.02984648312685423,0.016919002968122654
72,2025-11-17,2025-11-21,5,26.42,24.116000000000003,0.1366863395726526,-0.05071354632550418,0.00935611930411604
