candidate_universe_id,selection_order,symbol
RRV002_FREE_US_EQUITY_250,142,CGNX
RRV002_FREE_US_EQUITY_250,143,CHDN
RRV002_FREE_US_EQUITY_250,144,CHKP
RRV002_FREE_US_EQUITY_250,145,CHRD
RRV002_FREE_US_EQUITY_250,146,CHRS
RRV002_FREE_US_EQUITY_250,147,CHRW
RRV002_FREE_US_EQUITY_250,148,CHTR
RRV002_FREE_US_EQUITY_250,149,CIGI
RRV002_FREE_US_EQUITY_250,150,CINF
RRV002_FREE_US_EQUITY_250,151,CLAR
RRV002_FREE_US_EQUITY_250,152,CLDX
RRV002_FREE_US_EQUITY_250,153,CLNE
RRV002_FREE_US_EQUITY_250,154,CLOV
RRV002_FREE_US_EQUITY_250,155,CMCSA
RRV002_FREE_US_EQUITY_250,156,CME
RRV002_FREE_US_EQUITY_250,157,CMPR
RRV002_FREE_US_EQUITY_250,158,CMPS
RRV002_FREE_US_EQUITY_250,159,CMRC
RRV002_FREE_US_EQUITY_250,160,CMTL
RRV002_FREE_US_EQUITY_250,161,CNDT
RRV002_FREE_US_EQUITY_250,162,CNXC
RRV002_FREE_US_EQUITY_250,163,COHR
RRV002_FREE_US_EQUITY_250,164,COHU
RRV002_FREE_US_EQUITY_250,165,COLB
RRV002_FREE_US_EQUITY_250,166,COLL
RRV002_FREE_US_EQUITY_250,167,COLM
RRV002_FREE_US_EQUITY_250,168,CORT
RRV002_FREE_US_EQUITY_250,169,COST
RRV002_FREE_US_EQUITY_250,170,CPRT
RRV002_FREE_US_EQUITY_250,171,CRMD
RRV002_FREE_US_EQUITY_250,172,CRNC
RRV002_FREE_US_EQUITY_250,173,CRNX
RRV002_FREE_US_EQUITY_250,174,CRON
RRV002_FREE_US_EQUITY_250,175,CROX
RRV002_FREE_US_EQUITY_250,176,CRSR
RRV002_FREE_US_EQUITY_250,177,CRUS
RRV002_FREE_US_EQUITY_250,178,CRWD
RRV002_FREE_US_EQUITY_250,179,CSCO
RRV002_FREE_US_EQUITY_250,180,CSGP
RRV002_FREE_US_EQUITY_250,181,CSIQ
RRV002_FREE_US_EQUITY_250,182,CSTL
RRV002_FREE_US_EQUITY_250,183,CSWC
RRV002_FREE_US_EQUITY_250,184,CSX
RRV002_FREE_US_EQUITY_250,185,CTAS
RRV002_FREE_US_EQUITY_250,186,CTRE
RRV002_FREE_US_EQUITY_250,187,CTSH
RRV002_FREE_US_EQUITY_250,188,CVBF
RRV002_FREE_US_EQUITY_250,189,CVLT
RRV002_FREE_US_EQUITY_250,190,CWST
RRV002_FREE_US_EQUITY_250,191,CYRX
RRV002_FREE_US_EQUITY_250,192,CZR
RRV002_FREE_US_EQUITY_250,193,DAKT
RRV002_FREE_US_EQUITY_250,194,DBX
RRV002_FREE_US_EQUITY_250,195,DCOM
RRV002_FREE_US_EQUITY_250,196,DDOG
RRV002_FREE_US_EQUITY_250,197,DGII
RRV002_FREE_US_EQUITY_250,198,DIOD
RRV002_FREE_US_EQUITY_250,199,DKNG
RRV002_FREE_US_EQUITY_250,200,DLTR
RRV002_FREE_US_EQUITY_250,201,DNLI
RRV002_FREE_US_EQUITY_250,202,DNN
RRV002_FREE_US_EQUITY_250,203,DOCU
RRV002_FREE_US_EQUITY_250,204,DOMO
RRV002_FREE_US_EQUITY_250,205,DOX
RRV002_FREE_US_EQUITY_250,206,DSGX
RRV002_FREE_US_EQUITY_250,207,DXCM
RRV002_FREE_US_EQUITY_250,208,DYN
RRV002_FREE_US_EQUITY_250,209,EBAY
RRV002_FREE_US_EQUITY_250,210,EBC
RRV002_FREE_US_EQUITY_250,211,ECHO
RRV002_FREE_US_EQUITY_250,212,ECPG
RRV002_FREE_US_EQUITY_250,213,EDIT
RRV002_FREE_US_EQUITY_250,214,EFSC
RRV002_FREE_US_EQUITY_250,215,EGBN
RRV002_FREE_US_EQUITY_250,216,EHTH
RRV002_FREE_US_EQUITY_250,217,ENPH
RRV002_FREE_US_EQUITY_250,218,ENSG
RRV002_FREE_US_EQUITY_250,219,ENTA
RRV002_FREE_US_EQUITY_250,220,ENTG
RRV002_FREE_US_EQUITY_250,221,EOLS
RRV002_FREE_US_EQUITY_250,222,EOSE
RRV002_FREE_US_EQUITY_250,223,EQIX
RRV002_FREE_US_EQUITY_250,224,EQX
RRV002_FREE_US_EQUITY_250,225,ERII
RRV002_FREE_US_EQUITY_250,226,ESTA
RRV002_FREE_US_EQUITY_250,227,ETSY
RRV002_FREE_US_EQUITY_250,228,EVER
RRV002_FREE_US_EQUITY_250,229,EWBC
RRV002_FREE_US_EQUITY_250,230,EXC
RRV002_FREE_US_EQUITY_250,231,EXEL
RRV002_FREE_US_EQUITY_250,232,EXLS
RRV002_FREE_US_EQUITY_250,233,EXPD
RRV002_FREE_US_EQUITY_250,234,EXPE
RRV002_FREE_US_EQUITY_250,235,EXPO
RRV002_FREE_US_EQUITY_250,236,EXTR
RRV002_FREE_US_EQUITY_250,237,EYE
RRV002_FREE_US_EQUITY_250,238,EYPT
RRV002_FREE_US_EQUITY_250,239,EZPW
RRV002_FREE_US_EQUITY_250,240,FANG
RRV002_FREE_US_EQUITY_250,241,FAST
RRV002_FREE_US_EQUITY_250,242,FATE
RRV002_FREE_US_EQUITY_250,243,FBNC
RRV002_FREE_US_EQUITY_250,244,FCEL
RRV002_FREE_US_EQUITY_250,245,FCFS
RRV002_FREE_US_EQUITY_250,246,FDMT
RRV002_FREE_US_EQUITY_250,247,FELE
RRV002_FREE_US_EQUITY_250,248,FFBC
RRV002_FREE_US_EQUITY_250,249,FFIN
RRV002_FREE_US_EQUITY_250,250,FFIV
