rebalance_signal_date,symbol,eligibility_reason
2022-02-28,AA,eligible
2022-02-28,AAAP,missing_or_invalid_current_price
2022-02-28,AAC.U,missing_or_invalid_t_minus_21_price
2022-02-28,AACB,missing_or_invalid_current_price
2022-02-28,AACBR,missing_or_invalid_current_price
2022-02-28,AACBU,missing_or_invalid_current_price
2022-02-28,AACG,eligible
2022-02-28,AACI,missing_or_invalid_current_price
2022-02-28,AACIU,missing_or_invalid_current_price
2022-02-28,AACIW,missing_or_invalid_current_price
2022-02-28,AACO,missing_or_invalid_current_price
2022-02-28,AACOU,missing_or_invalid_current_price
2022-02-28,AACOW,missing_or_invalid_current_price
2022-02-28,AACP,missing_or_invalid_current_price
2022-02-28,AACPR,missing_or_invalid_current_price
2022-02-28,AACPU,missing_or_invalid_current_price
2022-02-28,AACPW,missing_or_invalid_current_price
2022-02-28,AADR,missing_or_invalid_t_minus_252_price
2022-02-28,AADX,missing_or_invalid_current_price
2022-02-28,AAEQ,missing_or_invalid_current_price
2022-02-28,AAL,eligible
2022-02-28,AALG,missing_or_invalid_current_price
2022-02-28,AAME,missing_or_invalid_current_price
2022-02-28,AAMI,eligible
2022-02-28,AAOI,eligible
2022-02-28,AAON,eligible
2022-02-28,AAP,eligible
2022-02-28,AAPB,missing_or_invalid_current_price
2022-02-28,AAPD,missing_or_invalid_current_price
2022-02-28,AAPG,missing_or_invalid_current_price
2022-02-28,AAPL,eligible
2022-02-28,AAPU,missing_or_invalid_current_price
2022-02-28,AARD,missing_or_invalid_current_price
2022-02-28,AAT,eligible
2022-02-28,AAUB,missing_or_invalid_current_price
2022-02-28,AAUC,missing_or_invalid_current_price
2022-02-28,AAUS,missing_or_invalid_current_price
2022-02-28,AAVM,missing_or_invalid_current_price
2022-02-28,AAXJ,eligible
2022-02-28,AB,eligible
2022-02-28,ABAT,missing_or_invalid_current_price
2022-02-28,ABBV,eligible
2022-02-28,ABCB,eligible
2022-02-28,ABCL,eligible
2022-02-28,ABCS,missing_or_invalid_current_price
2022-02-28,ABEO,eligible
2022-02-28,ABEV,eligible
2022-02-28,ABG,eligible
2022-02-28,ABI,missing_or_invalid_current_price
2022-02-28,ABIG,missing_or_invalid_current_price
2022-02-28,ABLV,missing_or_invalid_current_price
2022-02-28,ABLVW,missing_or_invalid_current_price
2022-02-28,ABM,eligible
2022-02-28,ABNB,eligible
2022-02-28,ABOS,missing_or_invalid_t_minus_252_price
2022-02-28,ABR,eligible
2022-02-28,ABR.PRD,missing_or_invalid_t_minus_252_price
2022-02-28,ABR.PRE,missing_or_invalid_t_minus_252_price
2022-02-28,ABR.PRF,missing_or_invalid_t_minus_252_price
2022-02-28,ABSI,missing_or_invalid_t_minus_252_price
2022-02-28,ABT,eligible
2022-02-28,ABTC,eligible
2022-02-28,ABTS,eligible
2022-02-28,ABUS,eligible
2022-02-28,ABVC,missing_or_invalid_t_minus_252_price
2022-02-28,ABVX,missing_or_invalid_current_price
2022-02-28,ABX,eligible
2022-02-28,ABXL,missing_or_invalid_current_price
2022-02-28,ACA,eligible
2022-02-28,ACAA,missing_or_invalid_current_price
2022-02-28,ACAAU,missing_or_invalid_current_price
2022-02-28,ACAAW,missing_or_invalid_current_price
2022-02-28,ACAD,eligible
2022-02-28,ACB,eligible
2022-02-28,ACCL,missing_or_invalid_current_price
2022-02-28,ACCO,eligible
2022-02-28,ACCS,eligible
2022-02-28,ACDC,missing_or_invalid_current_price
2022-02-28,ACEL,eligible
2022-02-28,ACEP,missing_or_invalid_current_price
2022-02-28,ACET,eligible
2022-02-28,ACFN,missing_or_invalid_current_price
2022-02-28,ACGC,missing_or_invalid_current_price
2022-02-28,ACGCU,missing_or_invalid_current_price
2022-02-28,ACGCW,missing_or_invalid_current_price
2022-02-28,ACGL,eligible
2022-02-28,ACGLN,missing_or_invalid_t_minus_252_price
2022-02-28,ACGLO,missing_or_invalid_t_minus_252_price
2022-02-28,ACH,eligible
2022-02-28,ACHC,eligible
2022-02-28,ACHR,eligible
2022-02-28,ACHR.WS,missing_or_invalid_current_price
2022-02-28,ACHV,eligible
2022-02-28,ACI,eligible
2022-02-28,ACIC,eligible
2022-02-28,ACIU,eligible
2022-02-28,ACIW,eligible
2022-02-28,ACLO,missing_or_invalid_current_price
2022-02-28,ACLS,eligible
2022-03-31,A,eligible
2022-03-31,AA,eligible
2022-03-31,AAAP,missing_or_invalid_current_price
2022-03-31,AAC.U,missing_or_invalid_current_price
2022-03-31,AACB,missing_or_invalid_current_price
2022-03-31,AACBR,missing_or_invalid_current_price
2022-03-31,AACBU,missing_or_invalid_current_price
2022-03-31,AACG,missing_or_invalid_t_minus_21_price
2022-03-31,AACI,missing_or_invalid_t_minus_21_price
2022-03-31,AACIU,missing_or_invalid_current_price
2022-03-31,AACIW,missing_or_invalid_current_price
2022-03-31,AACO,missing_or_invalid_current_price
2022-03-31,AACOU,missing_or_invalid_current_price
2022-03-31,AACOW,missing_or_invalid_current_price
2022-03-31,AACP,missing_or_invalid_current_price
2022-03-31,AACPR,missing_or_invalid_current_price
2022-03-31,AACPU,missing_or_invalid_current_price
2022-03-31,AACPW,missing_or_invalid_current_price
2022-03-31,AADR,missing_or_invalid_current_price
2022-03-31,AADX,missing_or_invalid_current_price
2022-03-31,AAEQ,missing_or_invalid_current_price
2022-03-31,AAL,eligible
2022-03-31,AALG,missing_or_invalid_current_price
2022-03-31,AAME,missing_or_invalid_current_price
2022-03-31,AAMI,eligible
2022-03-31,AAOI,eligible
2022-03-31,AAON,eligible
2022-03-31,AAP,eligible
2022-03-31,AAPB,missing_or_invalid_current_price
2022-03-31,AAPD,missing_or_invalid_current_price
2022-03-31,AAPG,missing_or_invalid_current_price
2022-03-31,AAPL,eligible
2022-03-31,AAPU,missing_or_invalid_current_price
2022-03-31,AARD,missing_or_invalid_current_price
2022-03-31,AAT,eligible
2022-03-31,AAUB,missing_or_invalid_current_price
2022-03-31,AAUC,missing_or_invalid_current_price
2022-03-31,AAUS,missing_or_invalid_current_price
2022-03-31,AAVM,missing_or_invalid_current_price
2022-03-31,AAXJ,eligible
2022-03-31,AB,eligible
2022-03-31,ABAT,missing_or_invalid_current_price
2022-03-31,ABBV,eligible
2022-03-31,ABCB,eligible
2022-03-31,ABCL,eligible
2022-03-31,ABCS,missing_or_invalid_current_price
2022-03-31,ABEO,eligible
2022-03-31,ABEV,eligible
2022-03-31,ABG,eligible
2022-03-31,ABI,missing_or_invalid_current_price
2022-03-31,ABIG,missing_or_invalid_current_price
2022-03-31,ABLV,missing_or_invalid_current_price
2022-03-31,ABLVW,missing_or_invalid_current_price
2022-03-31,ABM,eligible
2022-03-31,ABNB,eligible
2022-03-31,ABOS,missing_or_invalid_t_minus_252_price
2022-03-31,ABR,eligible
2022-03-31,ABR.PRD,missing_or_invalid_t_minus_21_price
2022-03-31,ABR.PRE,missing_or_invalid_t_minus_252_price
2022-03-31,ABR.PRF,missing_or_invalid_t_minus_252_price
2022-03-31,ABSI,missing_or_invalid_t_minus_252_price
2022-03-31,ABT,eligible
2022-03-31,ABTC,eligible
2022-03-31,ABTS,eligible
2022-03-31,ABUS,eligible
2022-03-31,ABVC,missing_or_invalid_t_minus_21_price
2022-03-31,ABVX,missing_or_invalid_current_price
2022-03-31,ABX,missing_or_invalid_t_minus_21_price
2022-03-31,ABXL,missing_or_invalid_current_price
2022-03-31,ACA,eligible
2022-03-31,ACAA,missing_or_invalid_current_price
2022-03-31,ACAAU,missing_or_invalid_current_price
2022-03-31,ACAAW,missing_or_invalid_current_price
2022-03-31,ACAD,eligible
2022-03-31,ACB,eligible
2022-03-31,ACCL,missing_or_invalid_current_price
2022-03-31,ACCO,eligible
2022-03-31,ACCS,missing_or_invalid_t_minus_21_price
2022-03-31,ACDC,missing_or_invalid_current_price
2022-03-31,ACEL,eligible
2022-03-31,ACEP,missing_or_invalid_current_price
2022-03-31,ACET,eligible
2022-03-31,ACFN,missing_or_invalid_current_price
2022-03-31,ACGC,missing_or_invalid_current_price
2022-03-31,ACGCU,missing_or_invalid_current_price
2022-03-31,ACGCW,missing_or_invalid_current_price
2022-03-31,ACGL,eligible
2022-03-31,ACGLN,missing_or_invalid_t_minus_252_price
2022-03-31,ACGLO,eligible
2022-03-31,ACH,eligible
2022-03-31,ACHC,eligible
2022-03-31,ACHR,eligible
2022-03-31,ACHR.WS,missing_or_invalid_current_price
2022-03-31,ACHV,eligible
2022-03-31,ACI,eligible
2022-03-31,ACIC,eligible
2022-03-31,ACIU,eligible
2022-03-31,ACIW,eligible
2022-03-31,ACLO,missing_or_invalid_current_price
2022-03-31,ACLS,eligible
2022-04-29,A,eligible
2022-04-29,AA,eligible
2022-04-29,AAAP,missing_or_invalid_current_price
2022-04-29,AAC.U,eligible
2022-04-29,AACB,missing_or_invalid_current_price
2022-04-29,AACBR,missing_or_invalid_current_price
2022-04-29,AACBU,missing_or_invalid_current_price
2022-04-29,AACG,missing_or_invalid_current_price
2022-04-29,AACI,missing_or_invalid_current_price
2022-04-29,AACIU,missing_or_invalid_current_price
2022-04-29,AACIW,missing_or_invalid_current_price
2022-04-29,AACO,missing_or_invalid_current_price
2022-04-29,AACOU,missing_or_invalid_current_price
2022-04-29,AACOW,missing_or_invalid_current_price
2022-04-29,AACP,missing_or_invalid_current_price
2022-04-29,AACPR,missing_or_invalid_current_price
2022-04-29,AACPU,missing_or_invalid_current_price
2022-04-29,AACPW,missing_or_invalid_current_price
2022-04-29,AADR,missing_or_invalid_current_price
2022-04-29,AADX,missing_or_invalid_current_price
2022-04-29,AAEQ,missing_or_invalid_current_price
2022-04-29,AAL,eligible
2022-04-29,AALG,missing_or_invalid_current_price
2022-04-29,AAME,missing_or_invalid_current_price
2022-04-29,AAMI,eligible
2022-04-29,AAOI,eligible
2022-04-29,AAON,eligible
2022-04-29,AAP,eligible
2022-04-29,AAPB,missing_or_invalid_current_price
2022-04-29,AAPD,missing_or_invalid_current_price
2022-04-29,AAPG,missing_or_invalid_current_price
2022-04-29,AAPL,eligible
2022-04-29,AAPU,missing_or_invalid_current_price
2022-04-29,AARD,missing_or_invalid_current_price
2022-04-29,AAT,eligible
2022-04-29,AAUB,missing_or_invalid_current_price
2022-04-29,AAUC,missing_or_invalid_current_price
2022-04-29,AAUS,missing_or_invalid_current_price
2022-04-29,AAVM,eligible
2022-04-29,AAXJ,eligible
2022-04-29,AB,eligible
2022-04-29,ABAT,missing_or_invalid_current_price
2022-04-29,ABBV,eligible
2022-04-29,ABCB,eligible
2022-04-29,ABCL,eligible
2022-04-29,ABCS,missing_or_invalid_current_price
2022-04-29,ABEO,eligible
2022-04-29,ABEV,eligible
2022-04-29,ABG,eligible
2022-04-29,ABI,missing_or_invalid_current_price
2022-04-29,ABIG,missing_or_invalid_current_price
2022-04-29,ABLV,missing_or_invalid_current_price
2022-04-29,ABLVW,missing_or_invalid_current_price
2022-04-29,ABM,eligible
2022-04-29,ABNB,eligible
2022-04-29,ABOS,missing_or_invalid_t_minus_252_price
2022-04-29,ABR,eligible
2022-04-29,ABR.PRD,missing_or_invalid_t_minus_21_price
2022-04-29,ABR.PRE,missing_or_invalid_t_minus_252_price
2022-04-29,ABR.PRF,missing_or_invalid_t_minus_252_price
2022-04-29,ABSI,missing_or_invalid_t_minus_252_price
2022-04-29,ABT,eligible
2022-04-29,ABTC,eligible
2022-04-29,ABTS,eligible
2022-04-29,ABUS,eligible
2022-04-29,ABVC,missing_or_invalid_t_minus_252_price
2022-04-29,ABVX,missing_or_invalid_current_price
2022-04-29,ABX,eligible
2022-04-29,ABXL,missing_or_invalid_current_price
2022-04-29,ACA,eligible
2022-04-29,ACAA,missing_or_invalid_current_price
2022-04-29,ACAAU,missing_or_invalid_current_price
2022-04-29,ACAAW,missing_or_invalid_current_price
2022-04-29,ACAD,eligible
2022-04-29,ACB,eligible
2022-04-29,ACCL,missing_or_invalid_current_price
2022-04-29,ACCO,eligible
2022-04-29,ACCS,missing_or_invalid_t_minus_21_price
2022-04-29,ACDC,missing_or_invalid_current_price
2022-04-29,ACEL,eligible
2022-04-29,ACEP,missing_or_invalid_current_price
2022-04-29,ACET,eligible
2022-04-29,ACFN,missing_or_invalid_current_price
2022-04-29,ACGC,missing_or_invalid_current_price
2022-04-29,ACGCU,missing_or_invalid_current_price
2022-04-29,ACGCW,missing_or_invalid_current_price
2022-04-29,ACGL,eligible
2022-04-29,ACGLN,missing_or_invalid_t_minus_252_price
2022-04-29,ACGLO,missing_or_invalid_t_minus_252_price
2022-04-29,ACH,eligible
2022-04-29,ACHC,eligible
2022-04-29,ACHR,eligible
2022-04-29,ACHR.WS,missing_or_invalid_t_minus_252_price
2022-04-29,ACHV,eligible
2022-04-29,ACI,eligible
2022-04-29,ACIC,eligible
2022-04-29,ACIU,eligible
2022-04-29,ACIW,eligible
2022-04-29,ACLO,missing_or_invalid_current_price
2022-04-29,ACLS,eligible
2022-05-31,A,eligible
2022-05-31,AA,eligible
2022-05-31,AAAP,missing_or_invalid_current_price
2022-05-31,AAC.U,missing_or_invalid_current_price
2022-05-31,AACB,missing_or_invalid_current_price
2022-05-31,AACBR,missing_or_invalid_current_price
2022-05-31,AACBU,missing_or_invalid_current_price
2022-05-31,AACG,missing_or_invalid_current_price
2022-05-31,AACI,missing_or_invalid_current_price
2022-05-31,AACIU,missing_or_invalid_current_price
2022-05-31,AACIW,missing_or_invalid_current_price
2022-05-31,AACO,missing_or_invalid_current_price
2022-05-31,AACOU,missing_or_invalid_current_price
2022-05-31,AACOW,missing_or_invalid_current_price
2022-05-31,AACP,missing_or_invalid_current_price
2022-05-31,AACPR,missing_or_invalid_current_price
2022-05-31,AACPU,missing_or_invalid_current_price
2022-05-31,AACPW,missing_or_invalid_current_price
2022-05-31,AADR,missing_or_invalid_current_price
2022-05-31,AADX,missing_or_invalid_current_price
2022-05-31,AAEQ,missing_or_invalid_current_price
2022-05-31,AAL,eligible
2022-05-31,AALG,missing_or_invalid_current_price
2022-05-31,AAME,missing_or_invalid_current_price
2022-05-31,AAMI,eligible
2022-05-31,AAOI,eligible
2022-05-31,AAON,eligible
2022-05-31,AAP,eligible
2022-05-31,AAPB,missing_or_invalid_current_price
2022-05-31,AAPD,missing_or_invalid_current_price
2022-05-31,AAPG,missing_or_invalid_current_price
2022-05-31,AAPL,eligible
2022-05-31,AAPU,missing_or_invalid_current_price
2022-05-31,AARD,missing_or_invalid_current_price
2022-05-31,AAT,eligible
2022-05-31,AAUB,missing_or_invalid_current_price
2022-05-31,AAUC,missing_or_invalid_current_price
2022-05-31,AAUS,missing_or_invalid_current_price
2022-05-31,AAVM,missing_or_invalid_current_price
2022-05-31,AAXJ,eligible
2022-05-31,AB,eligible
2022-05-31,ABAT,missing_or_invalid_current_price
2022-05-31,ABBV,eligible
2022-05-31,ABCB,eligible
2022-05-31,ABCL,eligible
2022-05-31,ABCS,missing_or_invalid_current_price
2022-05-31,ABEO,eligible
2022-05-31,ABEV,eligible
2022-05-31,ABG,eligible
2022-05-31,ABI,missing_or_invalid_current_price
2022-05-31,ABIG,missing_or_invalid_current_price
2022-05-31,ABLV,missing_or_invalid_current_price
2022-05-31,ABLVW,missing_or_invalid_current_price
2022-05-31,ABM,eligible
2022-05-31,ABNB,eligible
2022-05-31,ABOS,missing_or_invalid_t_minus_252_price
2022-05-31,ABR,eligible
2022-05-31,ABR.PRD,missing_or_invalid_t_minus_252_price
2022-05-31,ABR.PRE,missing_or_invalid_t_minus_252_price
2022-05-31,ABR.PRF,missing_or_invalid_t_minus_252_price
2022-05-31,ABSI,missing_or_invalid_t_minus_252_price
2022-05-31,ABT,eligible
2022-05-31,ABTC,eligible
2022-05-31,ABTS,eligible
2022-05-31,ABUS,eligible
2022-05-31,ABVC,missing_or_invalid_current_price
2022-05-31,ABVX,missing_or_invalid_current_price
2022-05-31,ABX,eligible
2022-05-31,ABXL,missing_or_invalid_current_price
2022-05-31,ACA,eligible
2022-05-31,ACAA,missing_or_invalid_current_price
2022-05-31,ACAAU,missing_or_invalid_current_price
2022-05-31,ACAAW,missing_or_invalid_current_price
2022-05-31,ACAD,eligible
2022-05-31,ACB,eligible
2022-05-31,ACCL,missing_or_invalid_current_price
2022-05-31,ACCO,eligible
2022-05-31,ACCS,eligible
2022-05-31,ACDC,missing_or_invalid_t_minus_21_price
2022-05-31,ACEL,eligible
2022-05-31,ACEP,missing_or_invalid_current_price
2022-05-31,ACET,eligible
2022-05-31,ACFN,missing_or_invalid_current_price
2022-05-31,ACGC,missing_or_invalid_current_price
2022-05-31,ACGCU,missing_or_invalid_current_price
2022-05-31,ACGCW,missing_or_invalid_current_price
2022-05-31,ACGL,eligible
2022-05-31,ACGLN,missing_or_invalid_t_minus_252_price
2022-05-31,ACGLO,missing_or_invalid_t_minus_252_price
2022-05-31,ACH,eligible
2022-05-31,ACHC,eligible
2022-05-31,ACHR,eligible
2022-05-31,ACHR.WS,missing_or_invalid_current_price
2022-05-31,ACHV,eligible
2022-05-31,ACI,eligible
2022-05-31,ACIC,eligible
2022-05-31,ACIU,eligible
2022-05-31,ACIW,eligible
2022-05-31,ACLO,missing_or_invalid_current_price
2022-05-31,ACLS,eligible
2022-06-30,A,eligible
2022-06-30,AA,eligible
2022-06-30,AAAP,missing_or_invalid_current_price
2022-06-30,AAC.U,missing_or_invalid_current_price
2022-06-30,AACB,missing_or_invalid_current_price
2022-06-30,AACBR,missing_or_invalid_current_price
2022-06-30,AACBU,missing_or_invalid_current_price
2022-06-30,AACG,missing_or_invalid_current_price
2022-06-30,AACI,missing_or_invalid_current_price
2022-06-30,AACIU,missing_or_invalid_current_price
2022-06-30,AACIW,missing_or_invalid_current_price
2022-06-30,AACO,missing_or_invalid_current_price
2022-06-30,AACOU,missing_or_invalid_current_price
2022-06-30,AACOW,missing_or_invalid_current_price
2022-06-30,AACP,missing_or_invalid_current_price
2022-06-30,AACPR,missing_or_invalid_current_price
2022-06-30,AACPU,missing_or_invalid_current_price
2022-06-30,AACPW,missing_or_invalid_current_price
2022-06-30,AADR,missing_or_invalid_current_price
2022-06-30,AADX,missing_or_invalid_current_price
2022-06-30,AAEQ,missing_or_invalid_current_price
2022-06-30,AAL,eligible
2022-06-30,AALG,missing_or_invalid_current_price
2022-06-30,AAME,missing_or_invalid_current_price
2022-06-30,AAMI,eligible
2022-06-30,AAOI,eligible
2022-06-30,AAON,eligible
2022-06-30,AAP,eligible
2022-06-30,AAPB,missing_or_invalid_current_price
2022-06-30,AAPD,missing_or_invalid_current_price
2022-06-30,AAPG,missing_or_invalid_current_price
2022-06-30,AAPL,eligible
2022-06-30,AAPU,missing_or_invalid_current_price
2022-06-30,AARD,missing_or_invalid_current_price
2022-06-30,AAT,eligible
2022-06-30,AAUB,missing_or_invalid_current_price
2022-06-30,AAUC,missing_or_invalid_current_price
2022-06-30,AAUS,missing_or_invalid_current_price
2022-06-30,AAVM,missing_or_invalid_current_price
2022-06-30,AAXJ,eligible
2022-06-30,AB,eligible
2022-06-30,ABAT,missing_or_invalid_current_price
2022-06-30,ABBV,eligible
2022-06-30,ABCB,eligible
2022-06-30,ABCL,eligible
2022-06-30,ABCS,missing_or_invalid_current_price
2022-06-30,ABEO,eligible
2022-06-30,ABEV,eligible
2022-06-30,ABG,eligible
2022-06-30,ABI,missing_or_invalid_current_price
2022-06-30,ABIG,missing_or_invalid_current_price
2022-06-30,ABLV,missing_or_invalid_current_price
2022-06-30,ABLVW,missing_or_invalid_current_price
2022-06-30,ABM,eligible
2022-06-30,ABNB,eligible
2022-06-30,ABOS,missing_or_invalid_t_minus_252_price
2022-06-30,ABR,eligible
2022-06-30,ABR.PRD,eligible
2022-06-30,ABR.PRE,missing_or_invalid_current_price
2022-06-30,ABR.PRF,missing_or_invalid_t_minus_252_price
2022-06-30,ABSI,missing_or_invalid_t_minus_252_price
2022-06-30,ABT,eligible
2022-06-30,ABTC,eligible
2022-06-30,ABTS,eligible
2022-06-30,ABUS,eligible
2022-06-30,ABVC,missing_or_invalid_t_minus_21_price
2022-06-30,ABVX,missing_or_invalid_current_price
2022-06-30,ABX,missing_or_invalid_current_price
2022-06-30,ABXL,missing_or_invalid_current_price
2022-06-30,ACA,eligible
2022-06-30,ACAA,missing_or_invalid_current_price
2022-06-30,ACAAU,missing_or_invalid_current_price
2022-06-30,ACAAW,missing_or_invalid_current_price
2022-06-30,ACAD,eligible
2022-06-30,ACB,eligible
2022-06-30,ACCL,missing_or_invalid_current_price
2022-06-30,ACCO,eligible
2022-06-30,ACCS,missing_or_invalid_t_minus_252_price
2022-06-30,ACDC,missing_or_invalid_t_minus_252_price
2022-06-30,ACEL,eligible
2022-06-30,ACEP,missing_or_invalid_current_price
2022-06-30,ACET,eligible
2022-06-30,ACFN,missing_or_invalid_current_price
2022-06-30,ACGC,missing_or_invalid_current_price
2022-06-30,ACGCU,missing_or_invalid_current_price
2022-06-30,ACGCW,missing_or_invalid_current_price
2022-06-30,ACGL,eligible
2022-06-30,ACGLN,eligible
2022-06-30,ACGLO,eligible
2022-06-30,ACH,eligible
2022-06-30,ACHC,eligible
2022-06-30,ACHR,eligible
2022-06-30,ACHR.WS,missing_or_invalid_t_minus_21_price
2022-06-30,ACHV,eligible
2022-06-30,ACI,eligible
2022-06-30,ACIC,eligible
2022-06-30,ACIU,eligible
2022-06-30,ACIW,eligible
2022-06-30,ACLO,missing_or_invalid_current_price
2022-06-30,ACLS,eligible
2022-07-29,A,eligible
2022-07-29,AA,eligible
2022-07-29,AAAP,missing_or_invalid_current_price
2022-07-29,AAC.U,missing_or_invalid_t_minus_21_price
2022-07-29,AACB,missing_or_invalid_current_price
2022-07-29,AACBR,missing_or_invalid_current_price
2022-07-29,AACBU,missing_or_invalid_current_price
2022-07-29,AACG,eligible
2022-07-29,AACI,missing_or_invalid_current_volume
2022-07-29,AACIU,missing_or_invalid_current_price
2022-07-29,AACIW,missing_or_invalid_current_volume
2022-07-29,AACO,missing_or_invalid_current_price
2022-07-29,AACOU,missing_or_invalid_current_price
2022-07-29,AACOW,missing_or_invalid_current_price
2022-07-29,AACP,missing_or_invalid_current_price
2022-07-29,AACPR,missing_or_invalid_current_price
2022-07-29,AACPU,missing_or_invalid_current_price
2022-07-29,AACPW,missing_or_invalid_current_price
2022-07-29,AADR,missing_or_invalid_current_price
2022-07-29,AADX,missing_or_invalid_current_price
2022-07-29,AAEQ,missing_or_invalid_current_price
2022-07-29,AAL,eligible
2022-07-29,AALG,missing_or_invalid_current_price
2022-07-29,AAME,missing_or_invalid_t_minus_21_price
2022-07-29,AAMI,eligible
2022-07-29,AAOI,eligible
2022-07-29,AAON,eligible
2022-07-29,AAP,eligible
2022-07-29,AAPB,missing_or_invalid_current_price
2022-07-29,AAPD,missing_or_invalid_current_price
2022-07-29,AAPG,missing_or_invalid_current_price
2022-07-29,AAPL,eligible
2022-07-29,AAPU,missing_or_invalid_current_price
2022-07-29,AARD,missing_or_invalid_current_price
2022-07-29,AAT,eligible
2022-07-29,AAUB,missing_or_invalid_current_price
2022-07-29,AAUC,missing_or_invalid_current_price
2022-07-29,AAUS,missing_or_invalid_current_price
2022-07-29,AAVM,missing_or_invalid_current_volume
2022-07-29,AAXJ,eligible
2022-07-29,AB,eligible
2022-07-29,ABAT,missing_or_invalid_current_price
2022-07-29,ABBV,eligible
2022-07-29,ABCB,eligible
2022-07-29,ABCL,eligible
2022-07-29,ABCS,missing_or_invalid_current_price
