timestamp,paper_session_id,severity,component,incident_type,message,action_taken,resolved
2026-08-25T16:04:26.738380+00:00,PAPER-2026-08-25-DRYRUN,CRITICAL,signal_pipeline,BLOCK_IDENTITY_MISMATCH,Current signal pipeline failed.,BLOCK,NO
2026-08-25T16:04:26.740382+00:00,PAPER-2026-08-25-DRYRUN,CRITICAL,target_portfolio,BLOCK_IDENTITY_MISMATCH,Target portfolio invariant failed.,BLOCK,NO
2026-08-25T16:04:26.742388+00:00,PAPER-2026-08-25-DRYRUN,HIGH,freshness,STALE_DATA,Target snapshot failed integrity checks.,BLOCK,NO
2026-08-25T20:43:22.015420+00:00,PAPER-2026-08-25-DRYRUN,MEDIUM,timing,SCHEDULER_FAILURE,session=POST_CLOSE,DRY_RUN_BLOCK,NO
2026-08-25T23:24:52.188960+00:00,PAPER-2026-08-25-DRYRUN,CRITICAL,timing,T_PLUS_1_TIMING_VIOLATION,signal=2026-08-25;earliest=2026-08-26;execution=2026-08-25,BLOCK,NO
2026-08-25T23:28:02.438338+00:00,PAPER-2026-08-25-DRYRUN,CRITICAL,timing,T_PLUS_1_TIMING_VIOLATION,signal=2026-08-25;earliest=2026-08-26;execution=2026-08-25,BLOCK,NO
2026-08-25T23:30:28.193444+00:00,PAPER-2026-08-25-DRYRUN,CRITICAL,timing,T_PLUS_1_TIMING_VIOLATION,signal=2026-08-25;earliest=2026-08-26;execution=2026-08-25,BLOCK,NO
2026-08-25T23:32:52.775527+00:00,PAPER-2026-08-25-DRYRUN,CRITICAL,timing,T_PLUS_1_TIMING_VIOLATION,signal=2026-08-25;earliest=2026-08-26;execution=2026-08-25,BLOCK,NO
2026-08-26T20:32:37.597327+00:00,PAPER-2026-08-26-DRYRUN,MEDIUM,timing,SCHEDULER_FAILURE,session=POST_CLOSE,DRY_RUN_BLOCK,NO
2026-08-27T20:32:34.355299+00:00,PAPER-2026-08-27-DRYRUN,MEDIUM,timing,SCHEDULER_FAILURE,session=POST_CLOSE,DRY_RUN_BLOCK,NO
2026-08-28T20:32:34.305121+00:00,PAPER-2026-08-28-DRYRUN,MEDIUM,timing,SCHEDULER_FAILURE,session=POST_CLOSE,DRY_RUN_BLOCK,NO
2026-08-30T09:59:41.562293+00:00,PAPER-2026-08-31-DRYRUN,HIGH,calendar,SCHEDULER_FAILURE,NETWORK_FAIL,BLOCK,NO
2026-08-30T09:59:49.568890+00:00,PAPER-2026-08-31-DRYRUN,HIGH,calendar,SCHEDULER_FAILURE,NETWORK_FAIL,BLOCK,NO
2026-08-30T09:59:50.080619+00:00,PAPER-2026-08-31-DRYRUN,CRITICAL,signal_pipeline,SCHEDULER_FAILURE,Current signal pipeline failed.,BLOCK,NO
2026-08-30T09:59:50.081614+00:00,PAPER-2026-08-31-DRYRUN,CRITICAL,target_portfolio,SCHEDULER_FAILURE,Target portfolio invariant failed.,BLOCK,NO
2026-08-30T09:59:50.081972+00:00,PAPER-2026-08-31-DRYRUN,HIGH,calendar,SCHEDULER_FAILURE,NETWORK_FAIL,BLOCK,NO
2026-08-30T09:59:50.083990+00:00,PAPER-2026-08-31-DRYRUN,HIGH,freshness,STALE_DATA,Target snapshot failed integrity checks.,BLOCK,NO
2026-08-30T09:59:50.084984+00:00,PAPER-2026-08-31-DRYRUN,CRITICAL,eligibility,ELIGIBILITY_FAILURE,eligible_count=0,BLOCK,NO
2026-08-30T09:59:50.085973+00:00,PAPER-2026-08-31-DRYRUN,HIGH,broker,AUTH_FAILURE,account_status=NETWORK_FAIL,BLOCK,NO
2026-08-30T09:59:50.085973+00:00,PAPER-2026-08-31-DRYRUN,HIGH,broker,POSITION_MISMATCH,positions_status=NETWORK_FAIL,BLOCK,NO
2026-08-30T09:59:50.086976+00:00,PAPER-2026-08-31-DRYRUN,HIGH,broker,ORDER_MISMATCH,orders_status=NETWORK_FAIL,BLOCK,NO
2026-08-30T09:59:56.183739+00:00,PAPER-2026-08-31-DRYRUN,HIGH,calendar,SCHEDULER_FAILURE,NETWORK_FAIL,BLOCK,NO
2026-08-30T09:59:56.737347+00:00,PAPER-2026-08-31-DRYRUN,CRITICAL,signal_pipeline,SCHEDULER_FAILURE,Current signal pipeline failed.,BLOCK,NO
2026-08-30T09:59:56.738367+00:00,PAPER-2026-08-31-DRYRUN,CRITICAL,target_portfolio,SCHEDULER_FAILURE,Target portfolio invariant failed.,BLOCK,NO
2026-08-30T09:59:56.738367+00:00,PAPER-2026-08-31-DRYRUN,HIGH,calendar,SCHEDULER_FAILURE,NETWORK_FAIL,BLOCK,NO
2026-08-30T09:59:56.740346+00:00,PAPER-2026-08-31-DRYRUN,HIGH,freshness,STALE_DATA,Target snapshot failed integrity checks.,BLOCK,NO
2026-08-30T09:59:56.741346+00:00,PAPER-2026-08-31-DRYRUN,CRITICAL,eligibility,ELIGIBILITY_FAILURE,eligible_count=0,BLOCK,NO
2026-08-30T09:59:56.742349+00:00,PAPER-2026-08-31-DRYRUN,HIGH,broker,AUTH_FAILURE,account_status=NETWORK_FAIL,BLOCK,NO
2026-08-30T09:59:56.743347+00:00,PAPER-2026-08-31-DRYRUN,HIGH,broker,POSITION_MISMATCH,positions_status=NETWORK_FAIL,BLOCK,NO
2026-08-30T09:59:56.743347+00:00,PAPER-2026-08-31-DRYRUN,HIGH,broker,ORDER_MISMATCH,orders_status=NETWORK_FAIL,BLOCK,NO
2026-08-30T10:00:02.934415+00:00,PAPER-2026-08-31-DRYRUN,HIGH,calendar,SCHEDULER_FAILURE,NETWORK_FAIL,BLOCK,NO
2026-08-30T10:00:03.430167+00:00,PAPER-2026-08-31-DRYRUN,CRITICAL,signal_pipeline,SCHEDULER_FAILURE,Current signal pipeline failed.,BLOCK,NO
2026-08-30T10:00:03.431167+00:00,PAPER-2026-08-31-DRYRUN,CRITICAL,target_portfolio,SCHEDULER_FAILURE,Target portfolio invariant failed.,BLOCK,NO
2026-08-30T10:00:03.432546+00:00,PAPER-2026-08-31-DRYRUN,HIGH,calendar,SCHEDULER_FAILURE,NETWORK_FAIL,BLOCK,NO
2026-08-30T10:00:03.433587+00:00,PAPER-2026-08-31-DRYRUN,HIGH,freshness,STALE_DATA,Target snapshot failed integrity checks.,BLOCK,NO
2026-08-30T10:00:03.434550+00:00,PAPER-2026-08-31-DRYRUN,CRITICAL,eligibility,ELIGIBILITY_FAILURE,eligible_count=0,BLOCK,NO
2026-08-30T10:00:03.435565+00:00,PAPER-2026-08-31-DRYRUN,HIGH,broker,AUTH_FAILURE,account_status=NETWORK_FAIL,BLOCK,NO
2026-08-30T10:00:03.435565+00:00,PAPER-2026-08-31-DRYRUN,HIGH,broker,POSITION_MISMATCH,positions_status=NETWORK_FAIL,BLOCK,NO
2026-08-30T10:00:03.436547+00:00,PAPER-2026-08-31-DRYRUN,HIGH,broker,ORDER_MISMATCH,orders_status=NETWORK_FAIL,BLOCK,NO
2026-08-30T10:00:03.439562+00:00,PAPER-2026-08-31-DRYRUN,CRITICAL,timing,T_PLUS_1_TIMING_VIOLATION,signal=None;earliest=None;execution=None,BLOCK,NO
2026-08-30T10:00:03.440547+00:00,PAPER-2026-08-31-DRYRUN,MEDIUM,timing,SCHEDULER_FAILURE,session=UNKNOWN,DRY_RUN_BLOCK,NO
2026-08-30T10:00:09.413651+00:00,PAPER-2026-08-31-DRYRUN,HIGH,calendar,SCHEDULER_FAILURE,NETWORK_FAIL,BLOCK,NO
2026-08-30T10:00:09.909142+00:00,PAPER-2026-08-31-DRYRUN,CRITICAL,signal_pipeline,SCHEDULER_FAILURE,Current signal pipeline failed.,BLOCK,NO
2026-08-30T10:00:09.910108+00:00,PAPER-2026-08-31-DRYRUN,CRITICAL,target_portfolio,SCHEDULER_FAILURE,Target portfolio invariant failed.,BLOCK,NO
2026-08-30T10:00:09.910108+00:00,PAPER-2026-08-31-DRYRUN,HIGH,calendar,SCHEDULER_FAILURE,NETWORK_FAIL,BLOCK,NO
2026-08-30T10:00:09.912107+00:00,PAPER-2026-08-31-DRYRUN,HIGH,freshness,STALE_DATA,Target snapshot failed integrity checks.,BLOCK,NO
2026-08-30T10:00:09.912107+00:00,PAPER-2026-08-31-DRYRUN,CRITICAL,eligibility,ELIGIBILITY_FAILURE,eligible_count=0,BLOCK,NO
2026-08-30T10:00:09.913324+00:00,PAPER-2026-08-31-DRYRUN,HIGH,broker,AUTH_FAILURE,account_status=NETWORK_FAIL,BLOCK,NO
2026-08-30T10:00:09.914323+00:00,PAPER-2026-08-31-DRYRUN,HIGH,broker,POSITION_MISMATCH,positions_status=NETWORK_FAIL,BLOCK,NO
2026-08-30T10:00:09.914323+00:00,PAPER-2026-08-31-DRYRUN,HIGH,broker,ORDER_MISMATCH,orders_status=NETWORK_FAIL,BLOCK,NO
2026-08-30T10:00:09.917322+00:00,PAPER-2026-08-31-DRYRUN,CRITICAL,timing,T_PLUS_1_TIMING_VIOLATION,signal=None;earliest=None;execution=None,BLOCK,NO
2026-08-30T10:00:09.917322+00:00,PAPER-2026-08-31-DRYRUN,MEDIUM,timing,SCHEDULER_FAILURE,session=UNKNOWN,DRY_RUN_BLOCK,NO
2026-08-30T10:02:38.760446+00:00,PAPER-2026-08-25-DRYRUN,CRITICAL,signal_pipeline,FUTURE_BAR,Current signal pipeline failed.,BLOCK,NO
2026-08-30T10:02:38.761407+00:00,PAPER-2026-08-25-DRYRUN,CRITICAL,target_portfolio,FUTURE_BAR,Target portfolio invariant failed.,BLOCK,NO
2026-08-30T10:02:39.992269+00:00,PAPER-2026-08-25-DRYRUN,CRITICAL,timing,T_PLUS_1_TIMING_VIOLATION,signal=2026-08-25;earliest=2026-08-26;execution=2026-08-25,BLOCK,NO
2026-08-30T10:05:05.755432+00:00,PAPER-2026-08-25-DRYRUN,CRITICAL,signal_pipeline,FUTURE_BAR,Current signal pipeline failed.,BLOCK,NO
2026-08-30T10:05:05.756435+00:00,PAPER-2026-08-25-DRYRUN,CRITICAL,target_portfolio,FUTURE_BAR,Target portfolio invariant failed.,BLOCK,NO
2026-08-30T10:05:06.966986+00:00,PAPER-2026-08-25-DRYRUN,CRITICAL,timing,T_PLUS_1_TIMING_VIOLATION,signal=2026-08-25;earliest=2026-08-26;execution=2026-08-25,BLOCK,NO
2026-08-30T10:07:31.543790+00:00,PAPER-2026-08-25-DRYRUN,CRITICAL,signal_pipeline,FUTURE_BAR,Current signal pipeline failed.,BLOCK,NO
2026-08-30T10:07:31.544755+00:00,PAPER-2026-08-25-DRYRUN,CRITICAL,target_portfolio,FUTURE_BAR,Target portfolio invariant failed.,BLOCK,NO
2026-08-30T10:07:32.727239+00:00,PAPER-2026-08-25-DRYRUN,CRITICAL,timing,T_PLUS_1_TIMING_VIOLATION,signal=2026-08-25;earliest=2026-08-26;execution=2026-08-25,BLOCK,NO
