construct_a,construct_b,pearson_statistic,pearson_bh_fdr_significant,pearson_n,spearman_statistic,spearman_bh_fdr_significant,spearman_n,kendall_statistic,kendall_bh_fdr_significant,kendall_n,normalized_mutual_information,distance_correlation,minimum_pairwise_n,max_absolute_association_observed,corrected_linear_rank_significant_families,limited_scope_evidence_label,final_relationship_classification,interpretation_boundary
MR-001,COR-001,0.6266402034156231,True,3712,0.4948478899218757,True,3712,0.3409575453806392,True,3712,0.1242696231183403,0.61313306808208,3712,0.6266402034156231,3,PAIRWISE_MODERATE_ASSOCIATION_LIMITED_EVIDENCE,INCONCLUSIVE_WITHOUT_INCREMENTAL_OR_MULTIVARIATE_EVIDENCE,"Pairwise association only; no redundancy, orthogonality, complementarity, hierarchy, causal, predictive, or economic claim."
COR-001,OPT-001,0.6205608089956365,True,3712,0.580578388533091,True,3712,0.4065845134223511,True,3712,0.115194574256875,0.6009728795311841,3712,0.6205608089956365,3,PAIRWISE_MODERATE_ASSOCIATION_LIMITED_EVIDENCE,INCONCLUSIVE_WITHOUT_INCREMENTAL_OR_MULTIVARIATE_EVIDENCE,"Pairwise association only; no redundancy, orthogonality, complementarity, hierarchy, causal, predictive, or economic claim."
VOL-001,BRD-001,-0.6153202804073604,True,3573,-0.5560070572741096,True,3573,-0.3974646228447837,True,3573,0.1122246685480882,0.5909192489136256,3573,0.6153202804073604,3,PAIRWISE_MODERATE_ASSOCIATION_LIMITED_EVIDENCE,INCONCLUSIVE_WITHOUT_INCREMENTAL_OR_MULTIVARIATE_EVIDENCE,"Pairwise association only; no redundancy, orthogonality, complementarity, hierarchy, causal, predictive, or economic claim."
LIQ-001,BRD-001,-0.6137039260741574,True,3573,-0.5377134093020808,True,3573,-0.3779005098898702,True,3573,0.1022330395287166,0.5905807716797965,3573,0.6137039260741574,3,PAIRWISE_MODERATE_ASSOCIATION_LIMITED_EVIDENCE,INCONCLUSIVE_WITHOUT_INCREMENTAL_OR_MULTIVARIATE_EVIDENCE,"Pairwise association only; no redundancy, orthogonality, complementarity, hierarchy, causal, predictive, or economic claim."
BRD-001,COR-001,-0.5944346249914839,True,3573,-0.5109692498220237,True,3573,-0.3526858932349721,True,3573,0.1182633545374142,0.5727396397730425,3573,0.5944346249914839,3,PAIRWISE_MODERATE_ASSOCIATION_LIMITED_EVIDENCE,INCONCLUSIVE_WITHOUT_INCREMENTAL_OR_MULTIVARIATE_EVIDENCE,"Pairwise association only; no redundancy, orthogonality, complementarity, hierarchy, causal, predictive, or economic claim."
MR-001,OPT-001,0.5457921389594489,True,4509,0.5773224380976589,True,4509,0.4011050447011703,True,4509,0.1091380652016306,0.560116122629205,4509,0.5773224380976589,3,PAIRWISE_MODERATE_ASSOCIATION_LIMITED_EVIDENCE,INCONCLUSIVE_WITHOUT_INCREMENTAL_OR_MULTIVARIATE_EVIDENCE,"Pairwise association only; no redundancy, orthogonality, complementarity, hierarchy, causal, predictive, or economic claim."
VOL-001,CRD-001,0.5388421604281007,True,368,0.2759426261482139,True,368,0.1928089088970501,True,368,0.2244282018851678,0.524103124279128,368,0.5388421604281007,3,PAIRWISE_MODERATE_ASSOCIATION_LIMITED_EVIDENCE,INCONCLUSIVE_WITHOUT_INCREMENTAL_OR_MULTIVARIATE_EVIDENCE,"Pairwise association only; no redundancy, orthogonality, complementarity, hierarchy, causal, predictive, or economic claim."
LIQ-001,CRD-001,0.5293804411067513,True,368,0.2824432719507861,True,368,0.1964518421987916,True,368,0.1777485575957387,0.5059376111395555,368,0.5293804411067513,3,PAIRWISE_MODERATE_ASSOCIATION_LIMITED_EVIDENCE,INCONCLUSIVE_WITHOUT_INCREMENTAL_OR_MULTIVARIATE_EVIDENCE,"Pairwise association only; no redundancy, orthogonality, complementarity, hierarchy, causal, predictive, or economic claim."
CRD-001,OPT-001,0.5097833434495138,True,524,0.2747827211102793,True,524,0.191730036635383,True,524,0.1437306232445565,0.442027898027494,524,0.5097833434495138,3,PAIRWISE_MODERATE_ASSOCIATION_LIMITED_EVIDENCE,INCONCLUSIVE_WITHOUT_INCREMENTAL_OR_MULTIVARIATE_EVIDENCE,"Pairwise association only; no redundancy, orthogonality, complementarity, hierarchy, causal, predictive, or economic claim."
MR-001,BRD-001,-0.4978005941610834,True,3573,-0.4107499668875463,True,3573,-0.2765515351524289,True,3573,0.0719221037822099,0.4998455658762739,3573,0.4998455658762739,3,PAIRWISE_MODERATE_ASSOCIATION_LIMITED_EVIDENCE,INCONCLUSIVE_WITHOUT_INCREMENTAL_OR_MULTIVARIATE_EVIDENCE,"Pairwise association only; no redundancy, orthogonality, complementarity, hierarchy, causal, predictive, or economic claim."
BRD-001,CRD-001,-0.4085573060201216,True,367,-0.2950606038830766,True,367,-0.2565923675942883,True,367,0.2368471908081415,0.4561574005529011,367,0.4561574005529011,3,PAIRWISE_MODERATE_ASSOCIATION_LIMITED_EVIDENCE,INCONCLUSIVE_WITHOUT_INCREMENTAL_OR_MULTIVARIATE_EVIDENCE,"Pairwise association only; no redundancy, orthogonality, complementarity, hierarchy, causal, predictive, or economic claim."
LIQ-001,FUND-001,0.4359672024190125,True,3166,0.3011613249652234,True,3166,0.2073210041863356,True,3166,0.0482153569063835,0.3914124334379628,3166,0.4359672024190125,3,PAIRWISE_MODERATE_ASSOCIATION_LIMITED_EVIDENCE,INCONCLUSIVE_WITHOUT_INCREMENTAL_OR_MULTIVARIATE_EVIDENCE,"Pairwise association only; no redundancy, orthogonality, complementarity, hierarchy, causal, predictive, or economic claim."
VOL-001,FUND-001,0.3851599128448163,True,3166,0.2944980751352319,True,3166,0.2011623518246494,True,3166,0.0421157339274945,0.3566877831826524,3166,0.3851599128448163,3,PAIRWISE_MIXED_ASSOCIATION_LIMITED_EVIDENCE,INCONCLUSIVE_WITHOUT_INCREMENTAL_OR_MULTIVARIATE_EVIDENCE,"Pairwise association only; no redundancy, orthogonality, complementarity, hierarchy, causal, predictive, or economic claim."
COR-001,FUND-001,0.3789167709879156,True,3126,0.295766868739967,True,3126,0.2026283037292913,True,3126,0.0552290097371258,0.366792724978306,3126,0.3789167709879156,3,PAIRWISE_MIXED_ASSOCIATION_LIMITED_EVIDENCE,INCONCLUSIVE_WITHOUT_INCREMENTAL_OR_MULTIVARIATE_EVIDENCE,"Pairwise association only; no redundancy, orthogonality, complementarity, hierarchy, causal, predictive, or economic claim."
BRD-001,FUND-001,-0.3721820293276252,True,2989,-0.2931827196435018,True,2989,-0.1970927040819735,True,2989,0.0396192949902297,0.3406414700111147,2989,0.3721820293276252,3,PAIRWISE_MIXED_ASSOCIATION_LIMITED_EVIDENCE,INCONCLUSIVE_WITHOUT_INCREMENTAL_OR_MULTIVARIATE_EVIDENCE,"Pairwise association only; no redundancy, orthogonality, complementarity, hierarchy, causal, predictive, or economic claim."
FUND-001,OPT-001,0.3252008709481945,True,6459,0.2001824706699191,True,6459,0.1340495267631246,True,6459,0.0244740595940349,0.2832911938411515,6459,0.3252008709481945,3,PAIRWISE_MIXED_ASSOCIATION_LIMITED_EVIDENCE,INCONCLUSIVE_WITHOUT_INCREMENTAL_OR_MULTIVARIATE_EVIDENCE,"Pairwise association only; no redundancy, orthogonality, complementarity, hierarchy, causal, predictive, or economic claim."
MR-001,FUND-001,0.2291880744478265,True,3871,0.1576723577778893,True,3871,0.1065263664372878,True,3871,0.0344211122903126,0.218576003236134,3871,0.2291880744478265,3,PAIRWISE_MIXED_ASSOCIATION_LIMITED_EVIDENCE,INCONCLUSIVE_WITHOUT_INCREMENTAL_OR_MULTIVARIATE_EVIDENCE,"Pairwise association only; no redundancy, orthogonality, complementarity, hierarchy, causal, predictive, or economic claim."
CRD-001,FUND-001,-0.1026065605816063,False,262,-0.1688133525899518,True,262,-0.1100582024509373,True,262,0.0819094924752864,0.1918920418856999,262,0.1918920418856999,2,PAIRWISE_MIXED_ASSOCIATION_LIMITED_EVIDENCE,INCONCLUSIVE_WITHOUT_INCREMENTAL_OR_MULTIVARIATE_EVIDENCE,"Pairwise association only; no redundancy, orthogonality, complementarity, hierarchy, causal, predictive, or economic claim."
